iter	Passed	Remaining
0	51	51809
1	56	28216
2	60	20202
3	64	16075
4	68	13678
5	72	12081
6	76	10840
7	80	9994
8	84	9331
9	88	8778
10	92	8360
11	97	7997
12	101	7692
13	105	7431
14	109	7196
15	113	6996
16	117	6812
17	122	6687
18	126	6543
19	130	6411
20	135	6297
21	139	6206
22	143	6112
23	148	6026
24	152	5953
25	156	5877
26	161	5806
27	165	5749
28	170	5692
29	174	5639
30	178	5567
31	182	5519
32	186	5475
33	191	5433
34	195	5390
35	199	5350
36	203	5308
37	208	5276
38	212	5240
39	216	5206
40	221	5189
41	226	5161
42	230	5136
43	235	5111
44	239	5085
45	243	5059
46	248	5036
47	252	5004
48	256	4982
49	261	4961
50	265	4938
51	270	4928
52	274	4912
53	279	4891
54	282	4860
55	287	4852
56	292	4836
57	296	4819
58	301	4804
59	304	4777
60	308	4754
61	313	4737
62	318	4729
63	322	4711
64	326	4697
65	331	4684
66	335	4673
67	340	4660
68	344	4648
69	348	4636
70	352	4618
71	357	4606
72	361	4593
73	366	4581
74	370	4568
75	374	4548
76	378	4537
77	382	4519
78	386	4506
79	390	4495
80	395	4484
81	399	4470
82	403	4459
83	407	4442
84	411	4431
85	416	4424
86	420	4415
87	425	4405
88	429	4397
89	434	4393
90	438	4381
91	443	4373
92	446	4358
93	451	4349
94	455	4340
95	459	4330
96	464	4321
97	468	4313
98	473	4305
99	476	4291
100	480	4280
101	484	4269
102	489	4259
103	493	4252
104	497	4241
105	502	4234
106	505	4222
107	510	4215
108	513	4197
109	517	4190
110	522	4183
111	526	4176
112	531	4170
113	534	4157
114	539	4150
115	544	4145
116	548	4137
117	552	4130
118	556	4123
119	560	4112
120	565	4105
121	569	4099
122	573	4089
123	577	4078
124	581	4071
125	586	4065
126	590	4057
127	595	4054
128	599	4047
129	603	4041
130	608	4035
131	613	4032
132	617	4027
133	622	4020
134	626	4013
135	631	4009
136	635	4003
137	640	3997
138	644	3992
139	649	3986
140	653	3979
141	656	3969
142	661	3962
143	665	3956
144	669	3949
145	674	3942
146	678	3938
147	683	3933
148	687	3927
149	692	3922
150	695	3912
151	700	3905
152	704	3899
153	708	3894
154	713	3888
155	717	3883
156	722	3876
157	726	3871
158	730	3865
159	734	3857
160	738	3850
161	743	3845
162	747	3840
163	751	3831
164	756	3826
165	761	3824
166	765	3816
167	769	3811
168	774	3808
169	778	3800
170	782	3792
171	786	3785
172	790	3780
173	795	3775
174	799	3769
175	803	3760
176	807	3755
177	811	3749
178	816	3743
179	820	3736
180	825	3734
181	829	3729
182	833	3720
183	837	3712
184	841	3707
185	845	3699
186	849	3694
187	853	3687
188	858	3682
189	862	3676
190	866	3669
191	870	3664
192	875	3659
193	879	3651
194	883	3646
195	887	3641
196	891	3634
197	896	3629
198	900	3624
199	904	3617
200	908	3612
201	913	3608
202	917	3602
203	921	3597
204	926	3592
205	930	3587
206	935	3581
207	939	3578
208	944	3572
209	948	3567
210	952	3562
211	957	3558
212	961	3551
213	965	3547
214	970	3544
215	974	3538
216	979	3533
217	983	3526
218	987	3521
219	991	3514
220	995	3507
221	999	3502
222	1004	3500
223	1008	3495
224	1013	3490
225	1017	3485
226	1022	3480
227	1026	3476
228	1031	3471
229	1035	3466
230	1039	3461
231	1043	3455
232	1048	3450
233	1052	3446
234	1057	3441
235	1061	3436
236	1065	3431
237	1070	3428
238	1075	3423
239	1079	3418
240	1083	3413
241	1088	3410
242	1093	3405
243	1097	3400
244	1101	3395
245	1106	3391
246	1110	3386
247	1115	3381
248	1119	3377
249	1124	3372
250	1128	3366
251	1132	3361
252	1137	3359
253	1141	3353
254	1146	3348
255	1150	3343
256	1154	3338
257	1158	3332
258	1163	3327
259	1168	3324
260	1172	3319
261	1176	3314
262	1181	3309
263	1185	3304
264	1189	3299
265	1194	3294
266	1198	3289
267	1202	3284
268	1206	3279
269	1211	3274
270	1215	3269
271	1219	3265
272	1224	3260
273	1228	3255
274	1233	3252
275	1237	3247
276	1242	3242
277	1246	3237
278	1250	3232
279	1255	3227
280	1259	3222
281	1263	3217
282	1268	3213
283	1272	3208
284	1277	3204
285	1282	3200
286	1286	3196
287	1290	3191
288	1295	3186
289	1300	3183
290	1304	3178
291	1308	3173
292	1313	3168
293	1317	3164
294	1322	3159
295	1326	3154
296	1330	3149
297	1335	3144
298	1339	3140
299	1344	3136
300	1348	3131
301	1353	3127
302	1357	3122
303	1361	3117
304	1365	3112
305	1370	3107
306	1374	3103
307	1379	3099
308	1384	3095
309	1388	3090
310	1392	3085
311	1396	3080
312	1401	3075
313	1405	3070
314	1409	3065
315	1414	3062
316	1418	3056
317	1423	3052
318	1427	3047
319	1431	3042
320	1435	3037
321	1439	3031
322	1444	3027
323	1448	3022
324	1452	3017
325	1457	3012
326	1461	3008
327	1465	3003
328	1470	2998
329	1474	2993
330	1479	2989
331	1483	2984
332	1487	2980
333	1492	2975
334	1496	2970
335	1500	2965
336	1505	2961
337	1509	2956
338	1513	2951
339	1517	2946
340	1522	2942
341	1526	2937
342	1531	2932
343	1535	2927
344	1539	2923
345	1544	2919
346	1548	2914
347	1552	2909
348	1557	2905
349	1561	2900
350	1566	2895
351	1570	2891
352	1575	2886
353	1579	2882
354	1584	2878
355	1588	2873
356	1592	2868
357	1597	2864
358	1601	2859
359	1605	2854
360	1609	2849
361	1614	2845
362	1618	2840
363	1623	2835
364	1627	2830
365	1631	2826
366	1635	2821
367	1640	2816
368	1644	2811
369	1648	2807
370	1653	2802
371	1657	2797
372	1661	2793
373	1666	2789
374	1671	2785
375	1675	2780
376	1679	2776
377	1684	2771
378	1688	2766
379	1692	2761
380	1696	2756
381	1701	2752
382	1705	2748
383	1709	2742
384	1713	2737
385	1718	2733
386	1722	2728
387	1726	2723
388	1731	2719
389	1735	2714
390	1739	2709
391	1743	2704
392	1749	2701
393	1753	2696
394	1757	2692
395	1762	2687
396	1766	2682
397	1770	2678
